Floor,Apartment,Residents,RepairsFee,CurrentExpensesFee,TotalDebt,LastPaymentDate
1,116,4,"2,50","6,00","0,00",31-Dec-2025
1,117,2,"2,50","3,00","0,00",31-Dec-2025
2,118,1,"2,50","1,50","0,00",31-Dec-2025
2,119,2,"2,50","3,00","0,00",31-Dec-2025
2,120,1,"2,50","1,50","0,00",31-Dec-2025
3,121,2,"2,50","8,00","0,00",31-Dec-2025
3,122,1,"2,50","4,00","0,00",31-Dec-2025
3,123,1,"2,50","4,00","0,00",31-Dec-2025
4,124,4,"2,50","16,00","0,00",31-Dec-2025
4,125,2,"2,50","8,00","0,00",31-Dec-2025
4,126,0,"2,50","0,00","7,67",30-Sep-2025
5,127,2,"2,50","8,00","0,00",31-Dec-2025
5,128,0,"2,50","0,00","0,00",31-Dec-2025
5,129,1,"2,50","4,00","0,00",31-Dec-2025
6,130,2,"2,50","8,00","0,00",31-Dec-2025
6,131,2,"2,50","8,00","0,00",31-Dec-2025
6,132,1,"2,50","4,00","0,00",31-Dec-2025
7,133,0,"2,50","0,00","7,67",30-Sep-2025
7,134,2,"2,50","8,00","0,00",31-Dec-2025
7,135,2,"2,50","8,00","0,00",31-Dec-2025
8,136,2,"2,50","8,00","32,21",30-Sep-2025
8,137,0,"2,50","0,00","0,00",31-Dec-2025
8,138,2,"2,50","8,00","0,00",31-Dec-2025
